"","Q22_2","Q22_4","Q22_11","Q22_13","Q22_22","Q22_23","Q22_25","Q22_8","Q22_9","Q22_16","Q22_18","Q22_19","Q22_20","Q22_26","Q22_27","DLoC_SUM","Age","group","raw","percentile","n","m","md","sd","normValue"
"429",2.41221083862261,2.20513974782358,2.12355643123802,2.62129261273197,1.94091295397287,1.84833192229706,2.31420650794373,3.24769494361553,3.0933970969195,2.77863260343172,3.10231381852877,2.96245813428676,3.24297995286752,2.88355959546649,2.71702080953739,39.4937079692835,26,26,39.4937079692835,0.833333333333333,15,37.7753078539761,37.2587973146916,1.73613975545173,59.674215661017
"450",2.55632626522791,2.36048712563722,2.29798380796007,2.84320290616221,2.2243646014685,2.05799824624678,2.51965993366777,3.07261330549007,2.88562046779883,2.57182458630548,2.8787841787569,2.68618546951465,2.99926141262122,2.63066638384633,2.46843018081057,39.0534088715145,26,26,39.0534088715145,0.633333333333333,15,37.7753078539761,37.2587973146916,1.73613975545173,53.406948270878
"509",3.14372517522528,2.9936662553677,3.00893095202143,3.74768528912812,3.37968289526841,2.91257553233091,3.35706590170504,2.35899946262847,2.0387453736934,1.72889745004986,1.96770151504111,1.56012793374749,2.00589097158649,1.59990097343505,1.45520163346285,37.2587973146916,26,26,37.2587973146916,0.5,15,37.7753078539761,37.2587973146916,1.73613975545173,50
"535",3.58213557732708,3.46624513173784,3.53955267772817,4.4227537621218,4.2419649818025,3.55039689230054,3.98207129569072,1.82638742254866,1.40667261322741,1.09977128304694,1.28770686379228,0.719684874281056,1.26448010568613,0.830580039466931,0.698969493253873,35.9193730140119,26,26,35.9193730140119,0.1,15,37.7753078539761,37.2587973146916,1.73613975545173,37.184484344554
"692",3.19241083794707,3.04614634177554,3.06785672168101,3.82265193187364,3.47543968989459,2.9834058672394,3.42647301810786,2.29985266770623,1.96855342321926,1.65903272004046,1.89218781809276,1.46679637242073,1.92355697772492,1.51446755457359,1.37122173074822,37.1100536730453,26,26,37.1100536730453,0.433333333333333,15,37.7753078539761,37.2587973146916,1.73613975545173,48.3210599521189
"765",2.14216776387863,1.91405027498663,1.79671491094369,2.20547773873268,1.40978206650307,1.45545976333859,1.92922846564748,3.57576241705888,3.48272835110475,3.16614887522838,3.52116301907775,3.48013706443416,3.69965905746102,3.35743017307524,3.18282921960981,40.3187391610808,26,26,40.3187391610808,0.933333333333333,15,37.7753078539761,37.2587973146916,1.73613975545173,65.0108594604402
"795",2.44811847265853,2.24384592191173,2.16701655592221,2.67658352636275,2.01153744064235,1.90057214256621,2.36539704733359,3.20407180391213,3.0416277108418,2.72710455560516,3.0466194304249,2.89362235470061,3.18225532152808,2.82054901355359,2.65508225423248,39.3840035521961,26,26,39.3840035521961,0.7,15,37.7753078539761,37.2587973146916,1.73613975545173,55.2440051270804
"804",3.80939263505059,3.71121396566899,3.81460895278501,4.77268632348203,4.68894271995372,3.88102181571706,4.30605285775578,1.55029943614054,1.07902756848841,0.77365365225049,0.935220738988471,0.284027745794075,0.880157901785424,0.431790204507434,0.30696444429533,35.2250609626634,26,26,35.2250609626634,0.0333333333333333,15,37.7753078539761,37.2587973146916,1.73613975545173,31.6608536418409
"815",3.52125042442986,3.40061476118584,3.4658614862205,4.32900222931768,4.12221377054595,3.46181812948678,3.89527237670529,1.90035502308846,1.49445302737507,1.18714248292262,1.38214252980771,0.836403145407155,1.36744507575434,0.937421078062552,0.803992798498631,36.1053883388084,26,26,36.1053883388084,0.233333333333333,15,37.7753078539761,37.2587973146916,1.73613975545173,42.7208670911836
"5",2.91179249732278,2.74365739656504,2.72821562864769,3.39055316370783,2.92350897129574,2.57514828304126,3.02641869526181,2.6407677239348,2.3731314358427,2.06172467301719,2.3274397412954,2.00474833616523,2.39812027711825,2.00689556919798,1.85527185203829,37.967394244452,27,27,37.967394244452,0.46875,16,38.0978635709347,38.0057440276753,1.44338372973021,49.2158758726689
"146",2.95324797099513,2.78834379331465,2.7783904759473,3.45438669314751,3.00504515785766,2.63545977763429,3.08551833005889,2.59040467529531,2.31336352076839,2.00223538369434,2.26314039933853,1.92527721741943,2.32801350391127,1.9341496590398,1.78376359988842,37.8407401583109,27,27,37.8407401583109,0.40625,16,38.0978635709347,38.0057440276753,1.44338372973021,47.6279789067121
"192",3.15525136311241,3.00609076193601,3.02288145519874,3.76543342197145,3.40235303560598,2.92934440642283,3.37349783298909,2.34499663236834,2.02212763524436,1.71235718008633,1.9498238687194,1.53803196028198,1.98639863996991,1.57967486203827,1.43531963775165,37.2235826936968,27,27,37.2235826936968,0.28125,16,38.0978635709347,38.0057440276753,1.44338372973021,44.2086783774444
"241",3.37146177813342,3.23915200888705,3.28456763550881,4.09835625868752,3.8276038209453,3.24389812204447,3.68173111161608,2.08232889072998,1.71040895063136,1.40209166399419,1.6144715936508,1.12355150585478,1.62075779237848,1.20026963437906,1.06236939728531,36.5630201647266,27,27,36.5630201647266,0.09375,16,38.0978635709347,38.0057440276753,1.44338372973021,36.8198910269646
"289",2.03169555706837,1.7949681749401,1.66300696802247,2.03537159252329,1.19250117048487,1.29473927666955,1.77173739150575,3.70997188644932,3.64200028529832,3.32467831635865,3.69251048114183,3.69191488501623,3.88648239494676,3.55128638842356,3.37338727432115,40.6562520431702,27,27,40.6562520431702,0.90625,16,38.0978635709347,38.0057440276753,1.44338372973021,63.1801089730354
"294",2.8866877655736,2.71659607259845,2.69783059211505,3.35189666092964,2.87413203961078,2.53862466483064,2.99062895878983,2.67126673200687,2.40932587151618,2.09775037766123,2.36637833223356,2.0528746978054,2.44057574992437,2.05094925858059,1.8985760367224,38.0440938108986,27,27,38.0440938108986,0.53125,16,38.0978635709347,38.0057440276753,1.44338372973021,50.7841241273311
"394",3.03933282063711,2.8811378541336,2.88258164307117,3.58694095672587,3.17436008152824,2.76070031847957,3.20824236924395,2.48582269647372,2.18925175634254,1.87870220283769,2.12961884731908,1.7602505345215,2.18243246247617,1.7830882868425,1.6352723009315,37.5777351315642,27,27,37.5777351315642,0.34375,16,38.0978635709347,38.0057440276753,1.44338372973021,45.9774993467827
